,MA_LENGTH,ST_DEV,SQUEEZE_LOOK_BACK,SQUEEZE_MEMORY,ATR_LENGTH,ATR_STOP,CAGR,Sharpe,MaxDD,AllTrdes,WinbyLoss,PercProfitable
0,70.0,2.0,25.0,50.0,10.0,5.0,0.08645941135481494,0.06936561693354526,-0.33528519288025993,375.0,1.4151989120963568,0.33066666666666666
1,70.0,2.0,25.0,100.0,10.0,5.0,0.08306270218972145,0.062020905929102546,-0.35554394008028894,379.0,1.3990410902631254,0.33773087071240104
2,70.0,2.0,50.0,50.0,10.0,5.0,0.08392202019936867,0.06955647223791017,-0.3378533373094798,341.0,1.4711277616516065,0.3343108504398827
3,70.0,2.0,50.0,100.0,10.0,5.0,0.0941989594184447,0.07124336944427775,-0.3603487124777812,372.0,1.486360741947075,0.34139784946236557
4,70.0,2.0,75.0,50.0,10.0,5.0,0.07674960166879652,0.058494526864149236,-0.3240685022083754,289.0,1.4969880438196965,0.3460207612456747
5,70.0,2.0,75.0,100.0,10.0,5.0,0.09715281693397482,0.06514910156433869,-0.36338389457076425,342.0,1.5151278761933145,0.3508771929824561
6,70.0,2.0,100.0,50.0,10.0,5.0,0.07424722433221564,0.052600154029951766,-0.3306843940491722,245.0,1.6000862000944978,0.33877551020408164
7,70.0,2.0,100.0,100.0,10.0,5.0,0.09355848884039908,0.06289946174206833,-0.344768537260343,298.0,1.6690294816725864,0.348993288590604
8,70.0,2.0,125.0,50.0,10.0,5.0,0.06266351101017564,0.026770699404859665,-0.36085975434024053,215.0,1.7394935460428858,0.33488372093023255
9,70.0,2.0,125.0,100.0,10.0,5.0,0.06723499385102638,0.0319330177681429,-0.36312943882048193,261.0,1.7021110676635158,0.3333333333333333
10,75.0,2.0,25.0,50.0,10.0,5.0,0.09365266613395673,0.07014660078937313,-0.35971076041441985,347.0,1.4480028796223128,0.34293948126801155
11,75.0,2.0,25.0,100.0,10.0,5.0,0.08968734485035013,0.062348166310117026,-0.37736790473932114,352.0,1.4171958269623564,0.3494318181818182
12,75.0,2.0,50.0,50.0,10.0,5.0,0.08781300529279124,0.06746261018533563,-0.36479748491550684,321.0,1.4800572056377332,0.3426791277258567
13,75.0,2.0,50.0,100.0,10.0,5.0,0.08862489889321301,0.06636405392393872,-0.3731419943118368,348.0,1.4380972366360614,0.3505747126436782
14,75.0,2.0,75.0,50.0,10.0,5.0,0.0993970167905418,0.06921448528871281,-0.40208854896524016,275.0,1.7829059326615704,0.3418181818181818
15,75.0,2.0,75.0,100.0,10.0,5.0,0.09194887485364212,0.06479729467121051,-0.38361384941224735,324.0,1.514220549578376,0.3487654320987654
16,75.0,2.0,100.0,50.0,10.0,5.0,0.09456872206235212,0.06346374145674638,-0.4032773952171229,235.0,2.0200794544685103,0.3276595744680851
17,75.0,2.0,100.0,100.0,10.0,5.0,0.08821103678852515,0.06019335962760017,-0.3885422129906159,285.0,1.689665586076246,0.3368421052631579
18,75.0,2.0,125.0,50.0,10.0,5.0,0.02216531586059367,-0.16059971899203007,-0.3229430129185421,201.0,1.3063151538492188,0.32338308457711445
19,75.0,2.0,125.0,100.0,10.0,5.0,0.014325595040346473,-0.2534710194182116,-0.3165482525784901,247.0,1.153791584424846,0.31983805668016196
20,80.0,2.0,25.0,50.0,10.0,5.0,0.08681720106998059,0.055105496745579845,-0.4035336753231837,328.0,1.4161161857791453,0.3445121951219512
21,80.0,2.0,25.0,100.0,10.0,5.0,0.09505777634614065,0.05828959739791142,-0.4057981441771142,336.0,1.4480111472771364,0.3601190476190476
22,80.0,2.0,50.0,50.0,10.0,5.0,0.10213877021437834,0.059519621784599616,-0.38518324592732833,309.0,1.5829590819692014,0.34627831715210355
23,80.0,2.0,50.0,100.0,10.0,5.0,0.09561065682305636,0.05988178562931933,-0.40683890456616656,331.0,1.4651669500185058,0.3564954682779456
24,80.0,2.0,75.0,50.0,10.0,5.0,0.10203616799910664,0.06413107987708085,-0.40984063924210257,269.0,1.7682252801231328,0.3420074349442379
25,80.0,2.0,75.0,100.0,10.0,5.0,0.09102027091101594,0.05568759587004446,-0.40114378923404154,313.0,1.4800038908227695,0.3610223642172524
26,80.0,2.0,100.0,50.0,10.0,5.0,0.09740325192628752,0.0510604825486909,-0.4071282290655914,228.0,2.1780251958604664,0.34649122807017546
27,80.0,2.0,100.0,100.0,10.0,5.0,0.09497416562832006,0.05142698046929125,-0.38800260765993716,278.0,1.752728313722195,0.3597122302158273
28,80.0,2.0,125.0,50.0,10.0,5.0,0.03437046456589288,-0.06414820150800417,-0.33820533882099535,195.0,1.5037651414080846,0.3435897435897436
29,80.0,2.0,125.0,100.0,10.0,5.0,0.0343561124186067,-0.06482743214009451,-0.3195697591767845,241.0,1.3320381149077825,0.35684647302904565
